,P,Precision,Recall,Total True Positives,Total False Positives,Total False Negatives,Total True Negatives
0,0.01,0.46107784431137727,0.7333333333333333,77.0,90.0,28.0,131.0
1,0.02,0.49044585987261147,0.7333333333333333,77.0,80.0,28.0,134.0
2,0.03,0.5238095238095238,0.7333333333333333,77.0,70.0,28.0,139.0
3,0.04,0.5208333333333334,0.7142857142857143,75.0,69.0,30.0,140.0
4,0.05,0.5648854961832062,0.7047619047619048,74.0,57.0,31.0,146.0
5,0.06,0.5826771653543307,0.7047619047619048,74.0,53.0,31.0,150.0
6,0.07,0.6403508771929824,0.6952380952380952,73.0,41.0,32.0,153.0
7,0.08,0.6576576576576577,0.6952380952380952,73.0,38.0,32.0,156.0
8,0.09,0.6698113207547169,0.6761904761904762,71.0,35.0,34.0,158.0
9,0.1,0.6826923076923077,0.6761904761904762,71.0,33.0,34.0,159.0
10,0.11,0.7216494845360825,0.6666666666666666,70.0,27.0,35.0,163.0
11,0.12,0.7362637362637363,0.638095238095238,67.0,24.0,38.0,166.0
12,0.13,0.7764705882352941,0.6285714285714286,66.0,19.0,39.0,169.0
13,0.14,0.8311688311688312,0.6095238095238096,64.0,13.0,41.0,174.0
14,0.15,0.84,0.6,63.0,12.0,42.0,175.0
15,0.16,0.835820895522388,0.5333333333333333,56.0,11.0,49.0,176.0
16,0.17,0.8615384615384616,0.5333333333333333,56.0,9.0,49.0,178.0
17,0.18,0.8615384615384616,0.5333333333333333,56.0,9.0,49.0,178.0
18,0.19,0.8688524590163934,0.5047619047619047,53.0,8.0,52.0,179.0
19,0.2,0.8833333333333333,0.5047619047619047,53.0,7.0,52.0,180.0
20,0.21,0.8983050847457628,0.5047619047619047,53.0,6.0,52.0,181.0
21,0.22,0.8947368421052632,0.4857142857142857,51.0,6.0,54.0,181.0
22,0.23,0.8928571428571429,0.47619047619047616,50.0,6.0,55.0,181.0
23,0.24,0.8928571428571429,0.47619047619047616,50.0,6.0,55.0,181.0
24,0.25,0.94,0.44761904761904764,47.0,3.0,58.0,184.0
25,0.26,0.94,0.44761904761904764,47.0,3.0,58.0,184.0
26,0.27,0.94,0.44761904761904764,47.0,3.0,58.0,184.0
27,0.28,0.9591836734693877,0.44761904761904764,47.0,2.0,58.0,185.0
28,0.29,0.9583333333333334,0.4380952380952381,46.0,2.0,59.0,185.0
29,0.3,0.9787234042553191,0.4380952380952381,46.0,1.0,59.0,186.0
30,0.31,1.0,0.4380952380952381,46.0,0.0,59.0,187.0
31,0.32,1.0,0.41904761904761906,44.0,0.0,61.0,187.0
32,0.33,1.0,0.41904761904761906,44.0,0.0,61.0,187.0
33,0.34,1.0,0.4095238095238095,43.0,0.0,62.0,187.0
34,0.35,1.0,0.4095238095238095,43.0,0.0,62.0,187.0
