,P,Precision,Recall,Total True Positives,Total False Positives,Total False Negatives,Total True Negatives
0,0.01,0.45604395604395603,0.7904761904761904,83.0,99.0,22.0,130.0
1,0.02,0.4853801169590643,0.7904761904761904,83.0,88.0,22.0,131.0
2,0.03,0.50920245398773,0.7904761904761904,83.0,80.0,22.0,132.0
3,0.04,0.5324675324675324,0.780952380952381,82.0,72.0,23.0,137.0
4,0.05,0.5673758865248227,0.7619047619047619,80.0,61.0,25.0,143.0
5,0.06,0.5939849624060151,0.7523809523809524,79.0,54.0,26.0,147.0
6,0.07,0.6581196581196581,0.7333333333333333,77.0,40.0,28.0,154.0
7,0.08,0.6695652173913044,0.7333333333333333,77.0,38.0,28.0,156.0
8,0.09,0.6666666666666666,0.7238095238095238,76.0,38.0,29.0,156.0
9,0.1,0.7378640776699029,0.7238095238095238,76.0,27.0,29.0,162.0
10,0.11,0.7653061224489796,0.7142857142857143,75.0,23.0,30.0,166.0
11,0.12,0.7653061224489796,0.7142857142857143,75.0,23.0,30.0,166.0
12,0.13,0.8043478260869565,0.7047619047619048,74.0,18.0,31.0,171.0
13,0.14,0.8089887640449438,0.6857142857142857,72.0,17.0,33.0,172.0
14,0.15,0.8433734939759037,0.6666666666666666,70.0,13.0,35.0,174.0
15,0.16,0.8607594936708861,0.6476190476190476,68.0,11.0,37.0,176.0
16,0.17,0.8933333333333333,0.638095238095238,67.0,8.0,38.0,179.0
17,0.18,0.9041095890410958,0.6285714285714286,66.0,7.0,39.0,180.0
18,0.19,0.9027777777777778,0.6190476190476191,65.0,7.0,40.0,180.0
19,0.2,0.9104477611940298,0.580952380952381,61.0,6.0,44.0,181.0
20,0.21,0.9104477611940298,0.580952380952381,61.0,6.0,44.0,181.0
21,0.22,0.9104477611940298,0.580952380952381,61.0,6.0,44.0,181.0
22,0.23,0.9375,0.5714285714285714,60.0,4.0,45.0,183.0
23,0.24,0.9516129032258065,0.5619047619047619,59.0,3.0,46.0,184.0
24,0.25,0.9672131147540983,0.5619047619047619,59.0,2.0,46.0,185.0
25,0.26,0.9666666666666667,0.5523809523809524,58.0,2.0,47.0,185.0
26,0.27,0.9824561403508771,0.5333333333333333,56.0,1.0,49.0,186.0
27,0.28,0.9824561403508771,0.5333333333333333,56.0,1.0,49.0,186.0
28,0.29,0.9824561403508771,0.5333333333333333,56.0,1.0,49.0,186.0
29,0.3,0.9824561403508771,0.5333333333333333,56.0,1.0,49.0,186.0
30,0.31,0.9824561403508771,0.5333333333333333,56.0,1.0,49.0,186.0
31,0.32,0.9818181818181818,0.5142857142857142,54.0,1.0,51.0,186.0
32,0.33,0.9818181818181818,0.5142857142857142,54.0,1.0,51.0,186.0
33,0.34,1.0,0.49523809523809526,52.0,0.0,53.0,187.0
34,0.35,1.0,0.49523809523809526,52.0,0.0,53.0,187.0
