,P,Precision,Recall,Total True Positives,Total False Positives,Total False Negatives,Total True Negatives
0,0.01,0.4476744186046512,0.7333333333333333,77.0,95.0,28.0,128.0
1,0.02,0.506578947368421,0.7333333333333333,77.0,75.0,28.0,132.0
2,0.03,0.5244755244755245,0.7142857142857143,75.0,68.0,30.0,136.0
3,0.04,0.5725190839694656,0.7142857142857143,75.0,56.0,30.0,141.0
4,0.05,0.6065573770491803,0.7047619047619048,74.0,48.0,31.0,145.0
5,0.06,0.6218487394957983,0.7047619047619048,74.0,45.0,31.0,147.0
6,0.07,0.6403508771929824,0.6952380952380952,73.0,41.0,32.0,150.0
7,0.08,0.6545454545454545,0.6857142857142857,72.0,38.0,33.0,153.0
8,0.09,0.6792452830188679,0.6857142857142857,72.0,34.0,33.0,157.0
9,0.1,0.7128712871287128,0.6857142857142857,72.0,29.0,33.0,162.0
10,0.11,0.7128712871287128,0.6857142857142857,72.0,29.0,33.0,162.0
11,0.12,0.7272727272727273,0.6857142857142857,72.0,27.0,33.0,162.0
12,0.13,0.7244897959183674,0.6761904761904762,71.0,27.0,34.0,162.0
13,0.14,0.7553191489361702,0.6761904761904762,71.0,23.0,34.0,166.0
14,0.15,0.7526881720430108,0.6666666666666666,70.0,23.0,35.0,166.0
15,0.16,0.7608695652173914,0.6666666666666666,70.0,22.0,35.0,167.0
16,0.17,0.7840909090909091,0.6571428571428571,69.0,19.0,36.0,169.0
17,0.18,0.7816091954022989,0.6476190476190476,68.0,19.0,37.0,169.0
18,0.19,0.8095238095238095,0.6476190476190476,68.0,16.0,37.0,172.0
19,0.2,0.8170731707317073,0.638095238095238,67.0,15.0,38.0,173.0
20,0.21,0.8375,0.638095238095238,67.0,13.0,38.0,175.0
21,0.22,0.8666666666666667,0.6190476190476191,65.0,10.0,40.0,178.0
22,0.23,0.863013698630137,0.6,63.0,10.0,42.0,178.0
23,0.24,0.863013698630137,0.6,63.0,10.0,42.0,178.0
24,0.25,0.8732394366197183,0.5904761904761905,62.0,9.0,43.0,179.0
25,0.26,0.8857142857142857,0.5904761904761905,62.0,8.0,43.0,180.0
26,0.27,0.8840579710144928,0.580952380952381,61.0,8.0,44.0,180.0
27,0.28,0.8823529411764706,0.5714285714285714,60.0,8.0,45.0,180.0
28,0.29,0.8823529411764706,0.5714285714285714,60.0,8.0,45.0,180.0
29,0.3,0.8823529411764706,0.5714285714285714,60.0,8.0,45.0,180.0
30,0.31,0.8939393939393939,0.5619047619047619,59.0,7.0,46.0,181.0
31,0.32,0.8870967741935484,0.5238095238095238,55.0,7.0,50.0,181.0
32,0.33,0.8833333333333333,0.5047619047619047,53.0,7.0,52.0,181.0
33,0.34,0.8833333333333333,0.5047619047619047,53.0,7.0,52.0,181.0
34,0.35,0.8813559322033898,0.49523809523809526,52.0,7.0,53.0,181.0
