,P,Precision,Recall,Total True Positives,Total False Positives,Total False Negatives,Total True Negatives
0,0.01,0.47770700636942676,0.7142857142857143,75.0,82.0,30.0,130.0
1,0.02,0.4966887417218543,0.7142857142857143,75.0,76.0,30.0,131.0
2,0.03,0.5172413793103449,0.7142857142857143,75.0,70.0,30.0,133.0
3,0.04,0.5244755244755245,0.7142857142857143,75.0,68.0,30.0,135.0
4,0.05,0.5481481481481482,0.7047619047619048,74.0,61.0,31.0,139.0
5,0.06,0.5967741935483871,0.7047619047619048,74.0,50.0,31.0,144.0
6,0.07,0.6271186440677966,0.7047619047619048,74.0,44.0,31.0,147.0
7,0.08,0.6788990825688074,0.7047619047619048,74.0,35.0,31.0,155.0
8,0.09,0.6886792452830188,0.6952380952380952,73.0,33.0,32.0,157.0
9,0.1,0.776595744680851,0.6952380952380952,73.0,21.0,32.0,166.0
10,0.11,0.776595744680851,0.6952380952380952,73.0,21.0,32.0,166.0
11,0.12,0.8068181818181818,0.6761904761904762,71.0,17.0,34.0,170.0
12,0.13,0.8255813953488372,0.6761904761904762,71.0,15.0,34.0,172.0
13,0.14,0.8352941176470589,0.6761904761904762,71.0,14.0,34.0,173.0
14,0.15,0.8352941176470589,0.6761904761904762,71.0,14.0,34.0,173.0
15,0.16,0.8271604938271605,0.638095238095238,67.0,14.0,38.0,173.0
16,0.17,0.8271604938271605,0.638095238095238,67.0,14.0,38.0,173.0
17,0.18,0.8461538461538461,0.6285714285714286,66.0,12.0,39.0,175.0
18,0.19,0.8461538461538461,0.6285714285714286,66.0,12.0,39.0,175.0
19,0.2,0.8461538461538461,0.6285714285714286,66.0,12.0,39.0,175.0
20,0.21,0.8421052631578947,0.6095238095238096,64.0,12.0,41.0,175.0
21,0.22,0.84,0.6,63.0,12.0,42.0,175.0
22,0.23,0.84,0.6,63.0,12.0,42.0,175.0
23,0.24,0.8493150684931506,0.5904761904761905,62.0,11.0,43.0,176.0
24,0.25,0.8472222222222222,0.580952380952381,61.0,11.0,44.0,176.0
25,0.26,0.8472222222222222,0.580952380952381,61.0,11.0,44.0,176.0
26,0.27,0.8591549295774648,0.580952380952381,61.0,10.0,44.0,177.0
27,0.28,0.8714285714285714,0.580952380952381,61.0,9.0,44.0,178.0
28,0.29,0.8695652173913043,0.5714285714285714,60.0,9.0,45.0,178.0
29,0.3,0.8676470588235294,0.5619047619047619,59.0,9.0,46.0,178.0
30,0.31,0.890625,0.5428571428571428,57.0,7.0,48.0,180.0
31,0.32,0.890625,0.5428571428571428,57.0,7.0,48.0,180.0
32,0.33,0.9,0.5142857142857142,54.0,6.0,51.0,181.0
33,0.34,0.9310344827586207,0.5142857142857142,54.0,4.0,51.0,183.0
34,0.35,0.9310344827586207,0.5142857142857142,54.0,4.0,51.0,183.0
