run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
ESN_1layer_2021-08-31_20.45.38,P-1,2089,8245,3,0.1172767039508649,"[{'start_idx': 568, 'end_idx': 790, 'score': 1.6236241813957732}, {'start_idx': 1847, 'end_idx': 2062, 'score': 1.6032603700509924}, {'start_idx': 4270, 'end_idx': 4339, 'score': 2.172772464817607}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.127757576027642}, {'start_idx': 4410, 'end_idx': 4479, 'score': 2.1081183900289364}]",1,1,3,2,"[[818, 1040]]","[(2097, 2312), (4520, 4729)]",3,"[{'start_idx': 568, 'end_idx': 790, 'score': 1.6236241813957732}, {'start_idx': 1847, 'end_idx': 2062, 'score': 1.6032603700509924}, {'start_idx': 4270, 'end_idx': 4339, 'score': 2.172772464817607}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.127757576027642}, {'start_idx': 4410, 'end_idx': 4479, 'score': 2.1081183900289364}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
ESN_1layer_2021-08-31_20.45.38,S-1,2046,7071,1,0.18205886841481692,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5219971655818344}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.157149868329546}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.109852103127422}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.465327445227636}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.517735512809609}, {'start_idx': 5390, 'end_idx': 5458, 'score': 3.945130768289445}]",0,0,2,1,[],"[(5290, 5708)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5219971655818344}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.157149868329546}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.109852103127422}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.465327445227636}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.517735512809609}, {'start_idx': 5390, 'end_idx': 5458, 'score': 3.945130768289445}]",SMAP,"[[5300, 5747]]",[point]
ESN_1layer_2021-08-31_20.45.38,E-1,2096,8256,2,0.17146117739138977,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 2.2306976975033876}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.2727216875393723}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.043545014444385}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.02594703408232}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.26710261287297}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.128692992528979}, {'start_idx': 5670, 'end_idx': 5713, 'score': 4.98930155603582}]",0,0,3,2,[],"[(5010, 5079), (5570, 5963)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 2.2306976975033876}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.2727216875393723}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.043545014444385}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.02594703408232}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.26710261287297}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.128692992528979}, {'start_idx': 5670, 'end_idx': 5713, 'score': 4.98930155603582}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
ESN_1layer_2021-08-31_20.45.38,E-2,2096,8272,4,0.09202818383273294,"[{'start_idx': 500, 'end_idx': 715, 'score': 2.1480457790517407}, {'start_idx': 2520, 'end_idx': 2589, 'score': 2.204128172525774}, {'start_idx': 2590, 'end_idx': 2659, 'score': 2.51191628868713}, {'start_idx': 2730, 'end_idx': 2730, 'score': 1.701454791309328}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.588409428345707}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.6351599304115125}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.9987078226030945}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.957532506166277}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.190209187230005}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.865751370853387}]",3,0,0,1,"[[750, 965], [2770, 2909], [5010, 5079]]","[(5570, 5919)]",1,"[{'start_idx': 500, 'end_idx': 715, 'score': 2.1480457790517407}, {'start_idx': 2520, 'end_idx': 2589, 'score': 2.204128172525774}, {'start_idx': 2590, 'end_idx': 2659, 'score': 2.51191628868713}, {'start_idx': 2730, 'end_idx': 2730, 'score': 1.701454791309328}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.588409428345707}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.6351599304115125}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.9987078226030945}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.957532506166277}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.190209187230005}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.865751370853387}]",SMAP,"[[5598, 6995]]",[point]
ESN_1layer_2021-08-31_20.45.38,E-3,2096,8047,2,0.024930549675619366,"[{'start_idx': 3780, 'end_idx': 3849, 'score': 2.668273297883601}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.0699269571950705}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.297427344911152}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.333741487614733}]",1,0,1,1,"[[4030, 4099]]","[(5570, 5779)]",1,"[{'start_idx': 3780, 'end_idx': 3849, 'score': 2.668273297883601}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.0699269571950705}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.297427344911152}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.333741487614733}]",SMAP,"[[5094, 8306]]",[point]
ESN_1layer_2021-08-31_20.45.38,E-4,2096,8094,6,0.0599840301082317,"[{'start_idx': 545, 'end_idx': 754, 'score': 0.8155410861731318}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.2746394843625635}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.4808577746759655}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0929239098137784}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9943013616912812}, {'start_idx': 5600, 'end_idx': 5631, 'score': 0.914270776453701}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.4963802211850783}, {'start_idx': 5740, 'end_idx': 5809, 'score': 1.2723093901186158}, {'start_idx': 5810, 'end_idx': 5868, 'score': 3.176966345156349}, {'start_idx': 5880, 'end_idx': 5949, 'score': 3.455388606288303}, {'start_idx': 5950, 'end_idx': 6019, 'score': 3.534583730858575}, {'start_idx': 6020, 'end_idx': 6089, 'score': 3.9410923129084545}, {'start_idx': 6090, 'end_idx': 6159, 'score': 3.6659262154354573}]",2,0,0,1,"[[795, 1004], [5360, 5429]]","[(5570, 5639), (5710, 5881), (5920, 6118), (6130, 6409)]",1,"[{'start_idx': 545, 'end_idx': 754, 'score': 0.8155410861731318}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.2746394843625635}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.4808577746759655}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0929239098137784}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9943013616912812}, {'start_idx': 5600, 'end_idx': 5631, 'score': 0.914270776453701}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.4963802211850783}, {'start_idx': 5740, 'end_idx': 5809, 'score': 1.2723093901186158}, {'start_idx': 5810, 'end_idx': 5868, 'score': 3.176966345156349}, {'start_idx': 5880, 'end_idx': 5949, 'score': 3.455388606288303}, {'start_idx': 5950, 'end_idx': 6019, 'score': 3.534583730858575}, {'start_idx': 6020, 'end_idx': 6089, 'score': 3.9410923129084545}, {'start_idx': 6090, 'end_idx': 6159, 'score': 3.6659262154354573}]",SMAP,"[[5450, 8261]]",[point]
ESN_1layer_2021-08-31_20.45.38,E-5,2096,8034,4,0.11645046896520159,"[{'start_idx': 883, 'end_idx': 1092, 'score': 1.4936756391001187}, {'start_idx': 1727, 'end_idx': 1940, 'score': 1.5016168680265134}, {'start_idx': 4760, 'end_idx': 4829, 'score': 1.8592493056963104}, {'start_idx': 5320, 'end_idx': 5389, 'score': 1.7788828428251253}]",3,0,0,1,"[[1133, 1342], [1977, 2190], [5010, 5079]]","[(5570, 5639)]",1,"[{'start_idx': 883, 'end_idx': 1092, 'score': 1.4936756391001187}, {'start_idx': 1727, 'end_idx': 1940, 'score': 1.5016168680265134}, {'start_idx': 4760, 'end_idx': 4829, 'score': 1.8592493056963104}, {'start_idx': 5320, 'end_idx': 5389, 'score': 1.7788828428251253}]",SMAP,"[[5600, 5920]]",[point]
ESN_1layer_2021-08-31_20.45.38,E-6,2096,8040,1,0.003376951220549795,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.201741691033934}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.853851341662281}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.416754462497247}, {'start_idx': 5530, 'end_idx': 5539, 'score': 9.306186214965445}]",0,0,2,1,[],"[(5570, 5789)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.201741691033934}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.853851341662281}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.416754462497247}, {'start_idx': 5530, 'end_idx': 5539, 'score': 9.306186214965445}]",SMAP,"[[5610, 5675]]",[point]
ESN_1layer_2021-08-31_20.45.38,E-7,2007,8050,1,0.018560499606530678,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.256067321130898}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.794436906946732}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.467370214471014}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.902443050859807}, {'start_idx': 5460, 'end_idx': 5514, 'score': 7.006193864803771}]",0,0,2,1,[],"[(5430, 5764)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.256067321130898}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.794436906946732}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.467370214471014}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.902443050859807}, {'start_idx': 5460, 'end_idx': 5514, 'score': 7.006193864803771}]",SMAP,"[[5394, 5674]]",[point]
ESN_1layer_2021-08-31_20.45.38,E-8,2096,8272,2,0.05819043112770751,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 3.227621144182575}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.731309376122523}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.7609129123469645}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.8312697732537}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.481246596673879}, {'start_idx': 5670, 'end_idx': 5715, 'score': 5.425163600908617}]",0,0,2,1,[],"[(5430, 5499), (5640, 5965)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 3.227621144182575}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.731309376122523}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.7609129123469645}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.8312697732537}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.481246596673879}, {'start_idx': 5670, 'end_idx': 5715, 'score': 5.425163600908617}]",SMAP,"[[5400, 6022]]",[point]
