run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
ESN_1layer_final_2021-09-03_19.13.25,P-1,2089,8245,3,0.11571870315875682,"[{'start_idx': 567, 'end_idx': 789, 'score': 1.5140595929441099}, {'start_idx': 1845, 'end_idx': 2059, 'score': 1.472321980961628}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.8740589399740268}, {'start_idx': 4340, 'end_idx': 4409, 'score': 0.7993006202527075}, {'start_idx': 4410, 'end_idx': 4479, 'score': 2.0682667139263735}]",1,1,3,2,"[[817, 1039]]","[(2095, 2309), (4520, 4729)]",3,"[{'start_idx': 567, 'end_idx': 789, 'score': 1.5140595929441099}, {'start_idx': 1845, 'end_idx': 2059, 'score': 1.472321980961628}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.8740589399740268}, {'start_idx': 4340, 'end_idx': 4409, 'score': 0.7993006202527075}, {'start_idx': 4410, 'end_idx': 4479, 'score': 2.0682667139263735}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
ESN_1layer_final_2021-09-03_19.13.25,S-1,2046,7071,1,0.18323220712425997,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5033225916995712}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.901413406231957}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.79890642810193}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.241174217850979}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.331929590637947}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.7762559571240173}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.4241452088851387}]",0,0,2,1,[],"[(5290, 5710)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.5033225916995712}, {'start_idx': 5110, 'end_idx': 5179, 'score': 2.901413406231957}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.79890642810193}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.241174217850979}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.331929590637947}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.7762559571240173}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.4241452088851387}]",SMAP,"[[5300, 5747]]",[point]
ESN_1layer_final_2021-09-03_19.13.25,E-1,2096,8256,2,0.2035248190904736,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 2.0800098010497736}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.0904338623122327}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.606498747199865}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.5649280311254445}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.843480320387358}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.7366353828299195}, {'start_idx': 5670, 'end_idx': 5713, 'score': 4.667244882932136}]",0,0,3,2,[],"[(5010, 5079), (5570, 5963)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 2.0800098010497736}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.0904338623122327}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.606498747199865}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.5649280311254445}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.843480320387358}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.7366353828299195}, {'start_idx': 5670, 'end_idx': 5713, 'score': 4.667244882932136}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
ESN_1layer_final_2021-09-03_19.13.25,E-2,2096,8272,1,0.0805702381408519,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.753660604074461}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.979492059448186}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.80012908261447}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.7908748575522}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.2797851937670535}, {'start_idx': 5670, 'end_idx': 5711, 'score': 6.035876521737363}]",0,0,2,1,[],"[(5570, 5961)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.753660604074461}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.979492059448186}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.80012908261447}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.7908748575522}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.2797851937670535}, {'start_idx': 5670, 'end_idx': 5711, 'score': 6.035876521737363}]",SMAP,"[[5598, 6995]]",[point]
ESN_1layer_final_2021-09-03_19.13.25,E-3,2096,8047,1,0.033895098168909135,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.9130271914295633}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.8697660069985713}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9369313338013274}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0183574030641802}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.1155244498967787}]",0,0,2,1,[],"[(5570, 5919)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.9130271914295633}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.8697660069985713}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9369313338013274}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0183574030641802}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.1155244498967787}]",SMAP,"[[5094, 8306]]",[point]
ESN_1layer_final_2021-09-03_19.13.25,E-4,2096,8094,2,0.05111143473353805,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.6605316339677305}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.5027790668798797}, {'start_idx': 5670, 'end_idx': 5739, 'score': 4.5106033507021595}, {'start_idx': 5740, 'end_idx': 5809, 'score': 4.452232283539951}, {'start_idx': 5810, 'end_idx': 5879, 'score': 4.168163594950873}, {'start_idx': 5880, 'end_idx': 5949, 'score': 4.8051835592335435}, {'start_idx': 5950, 'end_idx': 6019, 'score': 4.83033951330266}, {'start_idx': 6020, 'end_idx': 6089, 'score': 4.871042245732635}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.598662452472775}]",0,0,2,1,[],"[(5570, 5709), (5920, 6409)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.6605316339677305}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.5027790668798797}, {'start_idx': 5670, 'end_idx': 5739, 'score': 4.5106033507021595}, {'start_idx': 5740, 'end_idx': 5809, 'score': 4.452232283539951}, {'start_idx': 5810, 'end_idx': 5879, 'score': 4.168163594950873}, {'start_idx': 5880, 'end_idx': 5949, 'score': 4.8051835592335435}, {'start_idx': 5950, 'end_idx': 6019, 'score': 4.83033951330266}, {'start_idx': 6020, 'end_idx': 6089, 'score': 4.871042245732635}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.598662452472775}]",SMAP,"[[5450, 8261]]",[point]
ESN_1layer_final_2021-09-03_19.13.25,E-5,2096,8034,2,0.11910158275046813,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 1.9666465661636667}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.1998417265248245}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.175555962651808}]",1,0,1,1,"[[5010, 5079]]","[(5570, 5709)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 1.9666465661636667}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.1998417265248245}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.175555962651808}]",SMAP,"[[5600, 5920]]",[point]
ESN_1layer_final_2021-09-03_19.13.25,E-6,2096,8040,1,0.0029285269072330217,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.650351437650258}, {'start_idx': 5390, 'end_idx': 5459, 'score': 15.05953898370839}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.571440067231283}, {'start_idx': 5530, 'end_idx': 5538, 'score': 9.44917452927879}]",0,0,2,1,[],"[(5570, 5788)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.650351437650258}, {'start_idx': 5390, 'end_idx': 5459, 'score': 15.05953898370839}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.571440067231283}, {'start_idx': 5530, 'end_idx': 5538, 'score': 9.44917452927879}]",SMAP,"[[5610, 5675]]",[point]
ESN_1layer_final_2021-09-03_19.13.25,E-7,2007,8050,1,0.019591430700015993,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.97867049520857}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.600976426493368}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.273217098982444}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.749378952185143}, {'start_idx': 5460, 'end_idx': 5514, 'score': 6.8819573147560265}]",0,0,2,1,[],"[(5430, 5764)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.97867049520857}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.600976426493368}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.273217098982444}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.749378952185143}, {'start_idx': 5460, 'end_idx': 5514, 'score': 6.8819573147560265}]",SMAP,"[[5394, 5674]]",[point]
ESN_1layer_final_2021-09-03_19.13.25,E-8,2096,8272,3,0.11362726509403916,"[{'start_idx': 1920, 'end_idx': 2099, 'score': 2.603128830192887}, {'start_idx': 5180, 'end_idx': 5249, 'score': 2.3875228067461847}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.55654244229158}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.884332154077917}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.121720920773422}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.253224281171305}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.934262321071151}, {'start_idx': 5670, 'end_idx': 5719, 'score': 5.82458917856087}]",1,0,1,1,"[[2170, 2349]]","[(5430, 5499), (5570, 5969)]",1,"[{'start_idx': 1920, 'end_idx': 2099, 'score': 2.603128830192887}, {'start_idx': 5180, 'end_idx': 5249, 'score': 2.3875228067461847}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.55654244229158}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.884332154077917}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.121720920773422}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.253224281171305}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.934262321071151}, {'start_idx': 5670, 'end_idx': 5719, 'score': 5.82458917856087}]",SMAP,"[[5400, 6022]]",[point]
