run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
ESN_2layers_2021-09-01_09.11.38,P-1,2089,8245,2,0.12729353009073924,"[{'start_idx': 1884, 'end_idx': 2099, 'score': 3.5100334014355434}, {'start_idx': 3430, 'end_idx': 3499, 'score': 3.509598069118882}]",0,1,4,2,[],"[(2134, 2349), (3680, 3749)]",3,"[{'start_idx': 1884, 'end_idx': 2099, 'score': 3.5100334014355434}, {'start_idx': 3430, 'end_idx': 3499, 'score': 3.509598069118882}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
ESN_2layers_2021-09-01_09.11.38,S-1,2046,7071,2,0.17376463052968316,"[{'start_idx': 1864, 'end_idx': 2082, 'score': 1.2162357153396255}, {'start_idx': 5040, 'end_idx': 5109, 'score': 0.6459243633676927}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.336271388061169}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.301150025439377}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.650844078085858}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.8824019307102535}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.170237894874141}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.786621802168083}]",1,0,1,1,"[[2114, 2332]]","[(5290, 5710)]",1,"[{'start_idx': 1864, 'end_idx': 2082, 'score': 1.2162357153396255}, {'start_idx': 5040, 'end_idx': 5109, 'score': 0.6459243633676927}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.336271388061169}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.301150025439377}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.650844078085858}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.8824019307102535}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.170237894874141}, {'start_idx': 5460, 'end_idx': 5460, 'score': 3.786621802168083}]",SMAP,"[[5300, 5747]]",[point]
ESN_2layers_2021-09-01_09.11.38,E-1,2096,8256,3,0.16876239727103232,"[{'start_idx': 2520, 'end_idx': 2589, 'score': 2.7571815869672416}, {'start_idx': 2590, 'end_idx': 2659, 'score': 2.8259981064071185}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.797787945330203}, {'start_idx': 4830, 'end_idx': 4899, 'score': 3.2155644449410303}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.7432732342265504}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.4529469532532095}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.199027969042996}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.126645843396862}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.808423351196904}, {'start_idx': 5670, 'end_idx': 5714, 'score': 6.350642903618014}]",1,0,2,2,"[[2770, 2909]]","[(5010, 5149), (5570, 5964)]",2,"[{'start_idx': 2520, 'end_idx': 2589, 'score': 2.7571815869672416}, {'start_idx': 2590, 'end_idx': 2659, 'score': 2.8259981064071185}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.797787945330203}, {'start_idx': 4830, 'end_idx': 4899, 'score': 3.2155644449410303}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.7432732342265504}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.4529469532532095}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.199027969042996}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.126645843396862}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.808423351196904}, {'start_idx': 5670, 'end_idx': 5714, 'score': 6.350642903618014}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
ESN_2layers_2021-09-01_09.11.38,E-2,2096,8272,4,0.14226278158883035,"[{'start_idx': 1713, 'end_idx': 2029, 'score': 2.6614465450509455}, {'start_idx': 4130, 'end_idx': 4199, 'score': 2.99795172198661}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.1140549497364907}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.733128853662578}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.064479637339015}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.274857333484508}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.865672007937378}, {'start_idx': 5670, 'end_idx': 5714, 'score': 5.712790884438185}]",3,0,0,1,"[[1963, 2279], [4380, 4449], [5010, 5079]]","[(5640, 5964)]",1,"[{'start_idx': 1713, 'end_idx': 2029, 'score': 2.6614465450509455}, {'start_idx': 4130, 'end_idx': 4199, 'score': 2.99795172198661}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.1140549497364907}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.733128853662578}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.064479637339015}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.274857333484508}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.865672007937378}, {'start_idx': 5670, 'end_idx': 5714, 'score': 5.712790884438185}]",SMAP,"[[5598, 6995]]",[point]
ESN_2layers_2021-09-01_09.11.38,E-3,2096,8047,5,0.02217056420484579,"[{'start_idx': 500, 'end_idx': 638, 'score': 1.3936073006649108}, {'start_idx': 737, 'end_idx': 1049, 'score': 1.478601497354813}, {'start_idx': 1132, 'end_idx': 1342, 'score': 1.4491215478714188}, {'start_idx': 2590, 'end_idx': 2659, 'score': 1.638164096913277}, {'start_idx': 5180, 'end_idx': 5249, 'score': 1.7313422523530495}, {'start_idx': 5250, 'end_idx': 5319, 'score': 1.7574276798074306}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.9320106053626347}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.99253630248449}]",4,0,0,1,"[[750, 888], [987, 1299], [1382, 1592], [2840, 2909]]","[(5430, 5709)]",1,"[{'start_idx': 500, 'end_idx': 638, 'score': 1.3936073006649108}, {'start_idx': 737, 'end_idx': 1049, 'score': 1.478601497354813}, {'start_idx': 1132, 'end_idx': 1342, 'score': 1.4491215478714188}, {'start_idx': 2590, 'end_idx': 2659, 'score': 1.638164096913277}, {'start_idx': 5180, 'end_idx': 5249, 'score': 1.7313422523530495}, {'start_idx': 5250, 'end_idx': 5319, 'score': 1.7574276798074306}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.9320106053626347}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.99253630248449}]",SMAP,"[[5094, 8306]]",[point]
ESN_2layers_2021-09-01_09.11.38,E-4,2096,8094,4,0.05749801709293327,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 2.925579200038451}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.710553757436459}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.5331497201547206}, {'start_idx': 5670, 'end_idx': 5739, 'score': 3.894405906697864}, {'start_idx': 5740, 'end_idx': 5809, 'score': 3.8552034914933513}, {'start_idx': 5810, 'end_idx': 5850, 'score': 3.5984158951676766}, {'start_idx': 5880, 'end_idx': 5949, 'score': 4.161179446877148}, {'start_idx': 5950, 'end_idx': 6019, 'score': 4.181133821754354}, {'start_idx': 6020, 'end_idx': 6089, 'score': 4.345198668885485}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.039092631862237}]",1,0,1,1,"[[5010, 5079]]","[(5570, 5709), (5920, 6100), (6130, 6409)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 2.925579200038451}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.710553757436459}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.5331497201547206}, {'start_idx': 5670, 'end_idx': 5739, 'score': 3.894405906697864}, {'start_idx': 5740, 'end_idx': 5809, 'score': 3.8552034914933513}, {'start_idx': 5810, 'end_idx': 5850, 'score': 3.5984158951676766}, {'start_idx': 5880, 'end_idx': 5949, 'score': 4.161179446877148}, {'start_idx': 5950, 'end_idx': 6019, 'score': 4.181133821754354}, {'start_idx': 6020, 'end_idx': 6089, 'score': 4.345198668885485}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.039092631862237}]",SMAP,"[[5450, 8261]]",[point]
ESN_2layers_2021-09-01_09.11.38,E-5,2096,8034,2,0.21202421958028636,"[{'start_idx': 1535, 'end_idx': 1787, 'score': 2.5066052452862664}, {'start_idx': 1924, 'end_idx': 2099, 'score': 2.316022627784865}]",2,1,0,0,"[[1785, 2037], [2174, 2349]]",[],1,"[{'start_idx': 1535, 'end_idx': 1787, 'score': 2.5066052452862664}, {'start_idx': 1924, 'end_idx': 2099, 'score': 2.316022627784865}]",SMAP,"[[5600, 5920]]",[point]
ESN_2layers_2021-09-01_09.11.38,E-6,2096,8040,1,0.002719333867720236,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.460431472596074}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.865099468398563}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.546790236305121}, {'start_idx': 5530, 'end_idx': 5537, 'score': 9.464251887152345}]",0,0,2,1,[],"[(5570, 5787)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.460431472596074}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.865099468398563}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.546790236305121}, {'start_idx': 5530, 'end_idx': 5537, 'score': 9.464251887152345}]",SMAP,"[[5610, 5675]]",[point]
ESN_2layers_2021-09-01_09.11.38,E-7,2007,8050,1,0.01879313562995285,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.271446203467155}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.724585256524623}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.591182027751586}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.910835264722136}, {'start_idx': 5460, 'end_idx': 5514, 'score': 7.018671822931514}]",0,0,2,1,[],"[(5430, 5764)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.271446203467155}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.724585256524623}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.591182027751586}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.910835264722136}, {'start_idx': 5460, 'end_idx': 5514, 'score': 7.018671822931514}]",SMAP,"[[5394, 5674]]",[point]
ESN_2layers_2021-09-01_09.11.38,E-8,2096,8272,3,0.05122894489505718,"[{'start_idx': 1529, 'end_idx': 1737, 'score': 3.266714620984385}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.2859686150645513}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.434342490983349}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.716794805118634}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.687202045936599}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.2337822637913325}, {'start_idx': 5670, 'end_idx': 5715, 'score': 5.952521041177172}]",2,0,0,1,"[[1779, 1987], [5010, 5079]]","[(5640, 5965)]",1,"[{'start_idx': 1529, 'end_idx': 1737, 'score': 3.266714620984385}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.2859686150645513}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.434342490983349}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.716794805118634}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.687202045936599}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.2337822637913325}, {'start_idx': 5670, 'end_idx': 5715, 'score': 5.952521041177172}]",SMAP,"[[5400, 6022]]",[point]
