run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
LSTM_1layer_2021-08-28_09.27.38,P-1,2089,8245,3,0.11943008672458431,"[{'start_idx': 1889, 'end_idx': 2099, 'score': 2.911762054306475}, {'start_idx': 2380, 'end_idx': 2449, 'score': 2.8389224581537325}, {'start_idx': 2450, 'end_idx': 2519, 'score': 2.813523358062085}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.712424909468185}, {'start_idx': 3430, 'end_idx': 3499, 'score': 3.1650691850441905}]",1,1,3,2,"[[2630, 2769]]","[(2139, 2349), (3610, 3749)]",3,"[{'start_idx': 1889, 'end_idx': 2099, 'score': 2.911762054306475}, {'start_idx': 2380, 'end_idx': 2449, 'score': 2.8389224581537325}, {'start_idx': 2450, 'end_idx': 2519, 'score': 2.813523358062085}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.712424909468185}, {'start_idx': 3430, 'end_idx': 3499, 'score': 3.1650691850441905}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
LSTM_1layer_2021-08-28_09.27.38,S-1,2046,7071,1,0.16740984810677786,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.6487193194907438}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.6241732752304485}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.595087723787393}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.882751969867497}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.875466853028071}, {'start_idx': 5390, 'end_idx': 5457, 'score': 4.260605748043403}]",0,0,2,1,[],"[(5290, 5707)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.6487193194907438}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.6241732752304485}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.595087723787393}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.882751969867497}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.875466853028071}, {'start_idx': 5390, 'end_idx': 5457, 'score': 4.260605748043403}]",SMAP,"[[5300, 5747]]",[point]
LSTM_1layer_2021-08-28_09.27.38,E-1,2096,8256,3,0.15122122282255243,"[{'start_idx': 1512, 'end_idx': 1728, 'score': 2.307671755910073}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.126023811955539}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.1044710296357803}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.818438560523078}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.444319446881179}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.7747947559124695}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.781184080469157}]",1,0,2,2,"[[1762, 1978]]","[(5010, 5079), (5570, 5919)]",2,"[{'start_idx': 1512, 'end_idx': 1728, 'score': 2.307671755910073}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.126023811955539}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.1044710296357803}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.818438560523078}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.444319446881179}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.7747947559124695}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.781184080469157}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
LSTM_1layer_2021-08-28_09.27.38,E-2,2096,8272,3,0.08608920535652194,"[{'start_idx': 1505, 'end_idx': 1738, 'score': 2.148887256109884}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.3416874726347348}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.54369901519843}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.318111380613494}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.438651073742607}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.43656116396857}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.01574216176558}, {'start_idx': 5670, 'end_idx': 5711, 'score': 5.803803047158509}]",2,0,0,1,"[[1755, 1988], [5010, 5079]]","[(5570, 5961)]",1,"[{'start_idx': 1505, 'end_idx': 1738, 'score': 2.148887256109884}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.3416874726347348}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.54369901519843}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.318111380613494}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.438651073742607}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.43656116396857}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.01574216176558}, {'start_idx': 5670, 'end_idx': 5711, 'score': 5.803803047158509}]",SMAP,"[[5598, 6995]]",[point]
LSTM_1layer_2021-08-28_09.27.38,E-3,2096,8047,1,0.033753444841299676,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.005392138845158}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.254858949354194}]",0,0,2,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.005392138845158}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.254858949354194}]",SMAP,"[[5094, 8306]]",[point]
LSTM_1layer_2021-08-28_09.27.38,E-4,2096,8094,5,0.058587488125547114,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 1.7016455724008321}, {'start_idx': 4830, 'end_idx': 4899, 'score': 1.4495021734683615}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8513194651920862}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.047468719200707}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0355974091607067}, {'start_idx': 5600, 'end_idx': 5669, 'score': 0.9313193133568503}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.0245648111745487}, {'start_idx': 5740, 'end_idx': 5809, 'score': 0.9891526225149148}, {'start_idx': 5880, 'end_idx': 5949, 'score': 1.0665891211402108}, {'start_idx': 5950, 'end_idx': 6019, 'score': 1.1639932454623416}, {'start_idx': 6020, 'end_idx': 6089, 'score': 1.125932165644277}, {'start_idx': 6790, 'end_idx': 6859, 'score': 1.1995664450543604}, {'start_idx': 7000, 'end_idx': 7069, 'score': 1.2538422346085392}, {'start_idx': 7070, 'end_idx': 7139, 'score': 3.5666203856228185}]",1,0,1,1,"[[5010, 5149]]","[(5640, 6059), (6130, 6339), (7040, 7109), (7250, 7389)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 1.7016455724008321}, {'start_idx': 4830, 'end_idx': 4899, 'score': 1.4495021734683615}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8513194651920862}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.047468719200707}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0355974091607067}, {'start_idx': 5600, 'end_idx': 5669, 'score': 0.9313193133568503}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.0245648111745487}, {'start_idx': 5740, 'end_idx': 5809, 'score': 0.9891526225149148}, {'start_idx': 5880, 'end_idx': 5949, 'score': 1.0665891211402108}, {'start_idx': 5950, 'end_idx': 6019, 'score': 1.1639932454623416}, {'start_idx': 6020, 'end_idx': 6089, 'score': 1.125932165644277}, {'start_idx': 6790, 'end_idx': 6859, 'score': 1.1995664450543604}, {'start_idx': 7000, 'end_idx': 7069, 'score': 1.2538422346085392}, {'start_idx': 7070, 'end_idx': 7139, 'score': 3.5666203856228185}]",SMAP,"[[5450, 8261]]",[point]
LSTM_1layer_2021-08-28_09.27.38,E-5,2096,8034,3,0.12344354140009561,"[{'start_idx': 1502, 'end_idx': 2034, 'score': 1.889383986780954}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.024394688339007}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.0532022908648035}, {'start_idx': 5390, 'end_idx': 5459, 'score': 1.9924795223746303}]",2,0,0,1,"[[1752, 2284], [5010, 5079]]","[(5570, 5709)]",1,"[{'start_idx': 1502, 'end_idx': 2034, 'score': 1.889383986780954}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.024394688339007}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.0532022908648035}, {'start_idx': 5390, 'end_idx': 5459, 'score': 1.9924795223746303}]",SMAP,"[[5600, 5920]]",[point]
LSTM_1layer_2021-08-28_09.27.38,E-6,2096,8040,1,0.004238063567523682,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 18.50059545199923}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.403922909360842}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.181533618922254}, {'start_idx': 5530, 'end_idx': 5538, 'score': 9.117356728549685}]",0,0,2,1,[],"[(5570, 5788)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 18.50059545199923}, {'start_idx': 5390, 'end_idx': 5459, 'score': 14.403922909360842}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.181533618922254}, {'start_idx': 5530, 'end_idx': 5538, 'score': 9.117356728549685}]",SMAP,"[[5610, 5675]]",[point]
LSTM_1layer_2021-08-28_09.27.38,E-7,2007,8050,1,0.017385805593722936,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 11.523725268918776}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.8507969532549}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.3937540831708}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.751072586421568}, {'start_idx': 5460, 'end_idx': 5517, 'score': 7.62089440596364}]",0,0,2,1,[],"[(5430, 5767)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 11.523725268918776}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.8507969532549}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.3937540831708}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.751072586421568}, {'start_idx': 5460, 'end_idx': 5517, 'score': 7.62089440596364}]",SMAP,"[[5394, 5674]]",[point]
LSTM_1layer_2021-08-28_09.27.38,E-8,2096,8272,2,0.051549130212262546,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 6.231910774629394}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.350727083884527}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.363015532860977}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.946545754417865}, {'start_idx': 5670, 'end_idx': 5714, 'score': 5.751993365919858}, {'start_idx': 7770, 'end_idx': 7839, 'score': 2.754623687193585}, {'start_idx': 7840, 'end_idx': 7909, 'score': 2.9107040673811992}]",1,0,1,1,"[[8020, 8159]]","[(5640, 5964)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 6.231910774629394}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.350727083884527}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.363015532860977}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.946545754417865}, {'start_idx': 5670, 'end_idx': 5714, 'score': 5.751993365919858}, {'start_idx': 7770, 'end_idx': 7839, 'score': 2.754623687193585}, {'start_idx': 7840, 'end_idx': 7909, 'score': 2.9107040673811992}]",SMAP,"[[5400, 6022]]",[point]
