run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
LSTM_1layer_final_2021-09-03_17.42.33,P-1,2089,8245,1,0.10034473813325537,"[{'start_idx': 1904, 'end_idx': 2099, 'score': 2.186141601701537}]",0,2,4,1,[],"[(2154, 2349)]",3,"[{'start_idx': 1904, 'end_idx': 2099, 'score': 2.186141601701537}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
LSTM_1layer_final_2021-09-03_17.42.33,S-1,2046,7071,1,0.1669614899360026,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 2.988914085847086}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.8308790047362966}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.303481285486203}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.5313653257903805}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.9306321223071534}]",0,0,2,1,[],"[(5360, 5709)]",1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 2.988914085847086}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.8308790047362966}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.303481285486203}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.5313653257903805}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.9306321223071534}]",SMAP,"[[5300, 5747]]",[point]
LSTM_1layer_final_2021-09-03_17.42.33,E-1,2096,8256,3,0.162077709805872,"[{'start_idx': 1507, 'end_idx': 1733, 'score': 2.67524958098253}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.27898794592691}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.252928377877228}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.102285646523652}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.7299475134698}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.934334440441517}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.970149834235886}]",1,0,2,2,"[[1757, 1983]]","[(5010, 5079), (5570, 5919)]",2,"[{'start_idx': 1507, 'end_idx': 1733, 'score': 2.67524958098253}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.27898794592691}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.252928377877228}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.102285646523652}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.7299475134698}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.934334440441517}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.970149834235886}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
LSTM_1layer_final_2021-09-03_17.42.33,E-2,2096,8272,3,0.09869304296180942,"[{'start_idx': 1504, 'end_idx': 1754, 'score': 2.7380945355464568}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.334288285697253}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.568999779232509}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.703495487129228}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.8056006222809975}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.763091327075142}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.352166359921963}, {'start_idx': 5670, 'end_idx': 5713, 'score': 6.114529640984849}]",2,0,0,1,"[[1754, 2004], [5010, 5079]]","[(5570, 5963)]",1,"[{'start_idx': 1504, 'end_idx': 1754, 'score': 2.7380945355464568}, {'start_idx': 4760, 'end_idx': 4829, 'score': 2.334288285697253}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.568999779232509}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.703495487129228}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.8056006222809975}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.763091327075142}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.352166359921963}, {'start_idx': 5670, 'end_idx': 5713, 'score': 6.114529640984849}]",SMAP,"[[5598, 6995]]",[point]
LSTM_1layer_final_2021-09-03_17.42.33,E-3,2096,8047,1,0.025460336367486323,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.25726411889953}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.773397800438382}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.6358269431346115}]",0,0,2,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.25726411889953}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.773397800438382}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.6358269431346115}]",SMAP,"[[5094, 8306]]",[point]
LSTM_1layer_final_2021-09-03_17.42.33,E-4,2096,8094,1,0.051358905409440304,"[{'start_idx': 5670, 'end_idx': 5739, 'score': 3.010223019144077}, {'start_idx': 5740, 'end_idx': 5809, 'score': 2.9922040450076657}]",0,0,2,1,[],"[(5920, 6059)]",1,"[{'start_idx': 5670, 'end_idx': 5739, 'score': 3.010223019144077}, {'start_idx': 5740, 'end_idx': 5809, 'score': 2.9922040450076657}]",SMAP,"[[5450, 8261]]",[point]
LSTM_1layer_final_2021-09-03_17.42.33,E-5,2096,8034,1,0.11451464172191993,"[{'start_idx': 1503, 'end_idx': 1938, 'score': 2.229368529497604}]",1,1,1,0,"[[1753, 2188]]",[],1,"[{'start_idx': 1503, 'end_idx': 1938, 'score': 2.229368529497604}]",SMAP,"[[5600, 5920]]",[point]
LSTM_1layer_final_2021-09-03_17.42.33,E-6,2096,8040,1,0.00771574772857607,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.64088527519701}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.846171602827223}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.132537119359611}]",0,0,2,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.64088527519701}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.846171602827223}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.132537119359611}]",SMAP,"[[5610, 5675]]",[point]
LSTM_1layer_final_2021-09-03_17.42.33,E-7,2007,8050,1,0.020637362930133945,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.17131923904023}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.724287910952633}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.676129682553887}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.99401818623513}, {'start_idx': 5460, 'end_idx': 5515, 'score': 7.070091309851822}]",0,0,2,1,[],"[(5430, 5765)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.17131923904023}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.724287910952633}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.676129682553887}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.99401818623513}, {'start_idx': 5460, 'end_idx': 5515, 'score': 7.070091309851822}]",SMAP,"[[5394, 5674]]",[point]
LSTM_1layer_final_2021-09-03_17.42.33,E-8,2096,8272,1,0.04950695506701345,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 6.433788822598423}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.609435975853622}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.593952175406372}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.153426077688131}, {'start_idx': 5670, 'end_idx': 5714, 'score': 5.942934918824097}]",0,0,2,1,[],"[(5640, 5964)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 6.433788822598423}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.609435975853622}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.593952175406372}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.153426077688131}, {'start_idx': 5670, 'end_idx': 5714, 'score': 5.942934918824097}]",SMAP,"[[5400, 6022]]",[point]
