run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
LSTM_2layers_2021-08-31_09.27.38,P-1,2089,8245,2,0.08472052141553608,"[{'start_idx': 2870, 'end_idx': 2939, 'score': 1.9674813514532556}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.7172768307967993}]",1,2,3,1,"[[3120, 3189]]","[(4520, 4589)]",3,"[{'start_idx': 2870, 'end_idx': 2939, 'score': 1.9674813514532556}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.7172768307967993}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
LSTM_2layers_2021-08-31_09.27.38,S-1,2046,7071,2,0.15134004933045206,"[{'start_idx': 3500, 'end_idx': 3569, 'score': 1.9070923240281898}, {'start_idx': 5040, 'end_idx': 5109, 'score': 2.1992283377806396}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.153534583133762}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.4816893896768897}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.30758519788936}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.582466118923163}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.870266534846494}]",1,0,1,1,"[[3750, 3819]]","[(5290, 5709)]",1,"[{'start_idx': 3500, 'end_idx': 3569, 'score': 1.9070923240281898}, {'start_idx': 5040, 'end_idx': 5109, 'score': 2.1992283377806396}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.153534583133762}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.4816893896768897}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.30758519788936}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.582466118923163}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.870266534846494}]",SMAP,"[[5300, 5747]]",[point]
LSTM_2layers_2021-08-31_09.27.38,E-1,2096,8256,3,0.11286725358163953,"[{'start_idx': 1525, 'end_idx': 1732, 'score': 4.036464942468051}, {'start_idx': 4760, 'end_idx': 4829, 'score': 10.205602431536736}, {'start_idx': 4830, 'end_idx': 4899, 'score': 7.507706982368021}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.110461586505359}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.26303810345993}, {'start_idx': 5460, 'end_idx': 5529, 'score': 11.247375173073607}, {'start_idx': 5530, 'end_idx': 5599, 'score': 10.424440818742823}, {'start_idx': 5600, 'end_idx': 5669, 'score': 10.051979798430908}, {'start_idx': 5670, 'end_idx': 5719, 'score': 8.224720395580357}]",1,0,2,2,"[[1775, 1982]]","[(5010, 5149), (5570, 5969)]",2,"[{'start_idx': 1525, 'end_idx': 1732, 'score': 4.036464942468051}, {'start_idx': 4760, 'end_idx': 4829, 'score': 10.205602431536736}, {'start_idx': 4830, 'end_idx': 4899, 'score': 7.507706982368021}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.110461586505359}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.26303810345993}, {'start_idx': 5460, 'end_idx': 5529, 'score': 11.247375173073607}, {'start_idx': 5530, 'end_idx': 5599, 'score': 10.424440818742823}, {'start_idx': 5600, 'end_idx': 5669, 'score': 10.051979798430908}, {'start_idx': 5670, 'end_idx': 5719, 'score': 8.224720395580357}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
LSTM_2layers_2021-08-31_09.27.38,E-2,2096,8272,3,0.08032651755107878,"[{'start_idx': 982, 'end_idx': 1183, 'score': 2.2550423705440985}, {'start_idx': 2450, 'end_idx': 2519, 'score': 2.591533867674461}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.977640662272389}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.111352021913017}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.230885663247417}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.144915271124598}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.635803222090469}, {'start_idx': 5670, 'end_idx': 5713, 'score': 6.320745439271071}]",2,0,0,1,"[[1232, 1433], [2700, 2769]]","[(5570, 5963)]",1,"[{'start_idx': 982, 'end_idx': 1183, 'score': 2.2550423705440985}, {'start_idx': 2450, 'end_idx': 2519, 'score': 2.591533867674461}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.977640662272389}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.111352021913017}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.230885663247417}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.144915271124598}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.635803222090469}, {'start_idx': 5670, 'end_idx': 5713, 'score': 6.320745439271071}]",SMAP,"[[5598, 6995]]",[point]
LSTM_2layers_2021-08-31_09.27.38,E-3,2096,8047,1,0.020676401339160554,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.508435399836067}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.573195342319841}]",0,0,2,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.508435399836067}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.573195342319841}]",SMAP,"[[5094, 8306]]",[point]
LSTM_2layers_2021-08-31_09.27.38,E-4,2096,8094,6,0.03205431488807167,"[{'start_idx': 1125, 'end_idx': 1340, 'score': 3.166681891968625}, {'start_idx': 1524, 'end_idx': 1736, 'score': 3.175769998382408}, {'start_idx': 3780, 'end_idx': 3849, 'score': 3.1209094319271995}, {'start_idx': 3850, 'end_idx': 3919, 'score': 3.0927373618492022}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.2441346558853086}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.532974108492636}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.490473174369626}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.244511175641277}, {'start_idx': 5670, 'end_idx': 5739, 'score': 5.080024490277443}, {'start_idx': 5740, 'end_idx': 5809, 'score': 5.035627665429349}, {'start_idx': 5810, 'end_idx': 5879, 'score': 4.8379669185468455}, {'start_idx': 5880, 'end_idx': 5949, 'score': 5.348343849123929}, {'start_idx': 5950, 'end_idx': 6019, 'score': 5.302501208592667}, {'start_idx': 6020, 'end_idx': 6089, 'score': 5.392701030297103}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.885412745504187}]",4,0,0,1,"[[1375, 1590], [1774, 1986], [4030, 4169], [5010, 5079]]","[(5570, 5709), (5850, 6409)]",1,"[{'start_idx': 1125, 'end_idx': 1340, 'score': 3.166681891968625}, {'start_idx': 1524, 'end_idx': 1736, 'score': 3.175769998382408}, {'start_idx': 3780, 'end_idx': 3849, 'score': 3.1209094319271995}, {'start_idx': 3850, 'end_idx': 3919, 'score': 3.0927373618492022}, {'start_idx': 4760, 'end_idx': 4829, 'score': 3.2441346558853086}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.532974108492636}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.490473174369626}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.244511175641277}, {'start_idx': 5670, 'end_idx': 5739, 'score': 5.080024490277443}, {'start_idx': 5740, 'end_idx': 5809, 'score': 5.035627665429349}, {'start_idx': 5810, 'end_idx': 5879, 'score': 4.8379669185468455}, {'start_idx': 5880, 'end_idx': 5949, 'score': 5.348343849123929}, {'start_idx': 5950, 'end_idx': 6019, 'score': 5.302501208592667}, {'start_idx': 6020, 'end_idx': 6089, 'score': 5.392701030297103}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.885412745504187}]",SMAP,"[[5450, 8261]]",[point]
LSTM_2layers_2021-08-31_09.27.38,E-5,2096,8034,1,0.09423894016732913,"[{'start_idx': 1519, 'end_idx': 1730, 'score': 4.086249296021759}]",1,1,1,0,"[[1769, 1980]]",[],1,"[{'start_idx': 1519, 'end_idx': 1730, 'score': 4.086249296021759}]",SMAP,"[[5600, 5920]]",[point]
LSTM_2layers_2021-08-31_09.27.38,E-6,2096,8040,1,0.004692679045116284,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 18.45748921679898}, {'start_idx': 5390, 'end_idx': 5459, 'score': 13.84461829084309}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.932006637931963}, {'start_idx': 5530, 'end_idx': 5535, 'score': 8.944683265371888}]",0,0,2,1,[],"[(5570, 5785)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 18.45748921679898}, {'start_idx': 5390, 'end_idx': 5459, 'score': 13.84461829084309}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.932006637931963}, {'start_idx': 5530, 'end_idx': 5535, 'score': 8.944683265371888}]",SMAP,"[[5610, 5675]]",[point]
LSTM_2layers_2021-08-31_09.27.38,E-7,2007,8050,1,0.018696076931205476,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.477789895522752}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.7417837321992}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.849677358690299}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.997746833838729}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.122541188497647}]",0,0,2,1,[],"[(5430, 5763)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.477789895522752}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.7417837321992}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.849677358690299}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.997746833838729}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.122541188497647}]",SMAP,"[[5394, 5674]]",[point]
LSTM_2layers_2021-08-31_09.27.38,E-8,2096,8272,1,0.05517029397866596,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 5.118010244592312}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.326849752003552}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.548025381730168}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.1499911115402215}]",0,0,2,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 5.118010244592312}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.326849752003552}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.548025381730168}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.1499911115402215}]",SMAP,"[[5400, 6022]]",[point]
