run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
LSTM_2layers_final_2021-09-03_18.23.59,P-1,2089,8245,4,0.10973340529591286,"[{'start_idx': 987, 'end_idx': 1231, 'score': 1.8635125265395178}, {'start_idx': 1844, 'end_idx': 2099, 'score': 1.8502257145484}, {'start_idx': 3500, 'end_idx': 3569, 'score': 0.6019909505439277}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.7922081668228026}]",1,0,3,3,"[[1237, 1481]]","[(2094, 2349), (3750, 3819), (4520, 4589)]",3,"[{'start_idx': 987, 'end_idx': 1231, 'score': 1.8635125265395178}, {'start_idx': 1844, 'end_idx': 2099, 'score': 1.8502257145484}, {'start_idx': 3500, 'end_idx': 3569, 'score': 0.6019909505439277}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.7922081668228026}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
LSTM_2layers_final_2021-09-03_18.23.59,S-1,2046,7071,1,0.16556508005256282,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.6242049018561048}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.424913973679849}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.350424983345999}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.690920947329882}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.698488706265862}, {'start_idx': 5390, 'end_idx': 5456, 'score': 4.111953376105685}]",0,0,2,1,[],"[(5290, 5706)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 0.6242049018561048}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.424913973679849}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.350424983345999}, {'start_idx': 5250, 'end_idx': 5319, 'score': 4.690920947329882}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.698488706265862}, {'start_idx': 5390, 'end_idx': 5456, 'score': 4.111953376105685}]",SMAP,"[[5300, 5747]]",[point]
LSTM_2layers_final_2021-09-03_18.23.59,E-1,2096,8256,4,0.2191863696160296,"[{'start_idx': 4200, 'end_idx': 4269, 'score': 4.242760494857725}, {'start_idx': 4270, 'end_idx': 4339, 'score': 4.119755571981637}, {'start_idx': 4760, 'end_idx': 4829, 'score': 4.56022436829102}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.435315212514045}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.500508257482447}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.874171415652829}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.979096397057865}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.792223994635814}, {'start_idx': 5810, 'end_idx': 5879, 'score': 5.875576007701725}, {'start_idx': 5880, 'end_idx': 5949, 'score': 6.112779306928923}, {'start_idx': 5950, 'end_idx': 6019, 'score': 5.859864605194342}]",1,0,2,2,"[[4450, 4589]]","[(5010, 5079), (5570, 5919), (6060, 6269)]",2,"[{'start_idx': 4200, 'end_idx': 4269, 'score': 4.242760494857725}, {'start_idx': 4270, 'end_idx': 4339, 'score': 4.119755571981637}, {'start_idx': 4760, 'end_idx': 4829, 'score': 4.56022436829102}, {'start_idx': 5320, 'end_idx': 5389, 'score': 4.435315212514045}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.500508257482447}, {'start_idx': 5460, 'end_idx': 5529, 'score': 5.874171415652829}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.979096397057865}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.792223994635814}, {'start_idx': 5810, 'end_idx': 5879, 'score': 5.875576007701725}, {'start_idx': 5880, 'end_idx': 5949, 'score': 6.112779306928923}, {'start_idx': 5950, 'end_idx': 6019, 'score': 5.859864605194342}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
LSTM_2layers_final_2021-09-03_18.23.59,E-2,2096,8272,2,0.12581574295113104,"[{'start_idx': 1712, 'end_idx': 2034, 'score': 3.7492222617495425}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.759154991859617}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.865489205872736}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.981137795331569}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.609832472602598}]",1,0,1,1,"[[1962, 2284]]","[(5640, 5919)]",1,"[{'start_idx': 1712, 'end_idx': 2034, 'score': 3.7492222617495425}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.759154991859617}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.865489205872736}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.981137795331569}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.609832472602598}]",SMAP,"[[5598, 6995]]",[point]
LSTM_2layers_final_2021-09-03_18.23.59,E-3,2096,8047,1,0.03561452187129885,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.46612843938696}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.9178149618763007}]",0,0,2,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.46612843938696}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.9178149618763007}]",SMAP,"[[5094, 8306]]",[point]
LSTM_2layers_final_2021-09-03_18.23.59,E-4,2096,8094,3,0.08799843194615732,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 1.8872934638889542}, {'start_idx': 5320, 'end_idx': 5389, 'score': 1.9630231877003075}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.7660561094492105}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0597767466287131}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0492736582124045}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.1755950448244235}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.8306312312832425}, {'start_idx': 5740, 'end_idx': 5809, 'score': 4.155781065962254}, {'start_idx': 5810, 'end_idx': 5866, 'score': 3.666575946716168}, {'start_idx': 5880, 'end_idx': 5949, 'score': 4.304614528685257}, {'start_idx': 5950, 'end_idx': 6019, 'score': 4.509625274822123}, {'start_idx': 6020, 'end_idx': 6089, 'score': 5.2692061565575585}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.995318584417272}, {'start_idx': 6160, 'end_idx': 6195, 'score': 4.523990311440642}]",1,0,1,1,"[[5010, 5079]]","[(5570, 6116), (6130, 6445)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 1.8872934638889542}, {'start_idx': 5320, 'end_idx': 5389, 'score': 1.9630231877003075}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.7660561094492105}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0597767466287131}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0492736582124045}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.1755950448244235}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.8306312312832425}, {'start_idx': 5740, 'end_idx': 5809, 'score': 4.155781065962254}, {'start_idx': 5810, 'end_idx': 5866, 'score': 3.666575946716168}, {'start_idx': 5880, 'end_idx': 5949, 'score': 4.304614528685257}, {'start_idx': 5950, 'end_idx': 6019, 'score': 4.509625274822123}, {'start_idx': 6020, 'end_idx': 6089, 'score': 5.2692061565575585}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.995318584417272}, {'start_idx': 6160, 'end_idx': 6195, 'score': 4.523990311440642}]",SMAP,"[[5450, 8261]]",[point]
LSTM_2layers_final_2021-09-03_18.23.59,E-5,2096,8034,1,0.2543442926455519,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 5.612644331689342}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.546506023572428}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.459186018056868}]",0,0,2,1,[],"[(5710, 5919)]",1,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 5.612644331689342}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.546506023572428}, {'start_idx': 5600, 'end_idx': 5669, 'score': 5.459186018056868}]",SMAP,"[[5600, 5920]]",[point]
LSTM_2layers_final_2021-09-03_18.23.59,E-6,2096,8040,1,0.008519161950109995,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.850586710588228}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.381719840159693}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.923448848405412}]",0,0,2,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.850586710588228}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.381719840159693}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.923448848405412}]",SMAP,"[[5610, 5675]]",[point]
LSTM_2layers_final_2021-09-03_18.23.59,E-7,2007,8050,1,0.01978277608020921,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.315793509819827}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.571279948823388}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.750737648591803}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.87543454705675}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.0014634366489945}]",0,0,2,1,[],"[(5430, 5763)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.315793509819827}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.571279948823388}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.750737648591803}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.87543454705675}, {'start_idx': 5460, 'end_idx': 5513, 'score': 7.0014634366489945}]",SMAP,"[[5394, 5674]]",[point]
LSTM_2layers_final_2021-09-03_18.23.59,E-8,2096,8272,1,0.07304836109277231,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 3.713046757972776}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.793496392306802}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.179279531027875}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.798727224367443}]",0,0,2,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 3.713046757972776}, {'start_idx': 5460, 'end_idx': 5529, 'score': 4.793496392306802}, {'start_idx': 5530, 'end_idx': 5599, 'score': 5.179279531027875}, {'start_idx': 5600, 'end_idx': 5669, 'score': 4.798727224367443}]",SMAP,"[[5400, 6022]]",[point]
